Pressure 1 (kg/cm2),Time 1 (sec),Pressure 2 (kg/cm2),Time 2 (sec),Time_Stamp
0.91,0.30,2.19,0.00,19:05:44.476
0.93,0.40,2.19,0.00,19:05:44.577
0.99,0.50,2.19,0.00,19:05:44.676
0.91,0.60,2.19,0.00,19:05:44.776
0.93,0.70,2.19,0.00,19:05:44.876
0.97,0.80,2.19,0.00,19:05:44.976
0.93,0.90,2.19,0.00,19:05:45.076
0.98,1.00,2.19,0.00,19:05:45.176
0.90,1.10,2.19,0.00,19:05:45.276
0.88,1.20,2.19,0.00,19:05:45.376
0.96,1.30,2.19,0.00,19:05:45.476
0.89,1.40,2.19,0.00,19:05:45.576
0.99,1.50,2.19,0.00,19:05:45.677
0.89,1.60,2.19,0.00,19:05:45.776
0.90,1.70,2.19,0.00,19:05:45.877
0.95,1.80,2.19,0.00,19:05:45.976
0.91,1.90,2.19,0.00,19:05:46.076
1.01,2.00,2.19,0.00,19:05:46.176
0.93,2.10,2.19,0.00,19:05:46.276
0.96,2.20,2.19,0.00,19:05:46.376
0.85,2.30,2.19,0.00,19:05:46.476
0.97,2.40,2.19,0.00,19:05:46.576
0.96,2.50,2.19,0.00,19:05:46.676
0.89,2.60,2.19,0.00,19:05:46.776
0.96,2.70,2.19,0.00,19:05:46.877
0.99,2.80,2.19,0.00,19:05:46.976
0.94,2.90,2.19,0.00,19:05:47.076
0.87,3.00,2.19,0.00,19:05:47.176
0.96,3.11,2.19,0.00,19:05:47.276
0.85,3.21,2.19,0.00,19:05:47.376
0.98,3.31,2.19,0.00,19:05:47.476
0.89,3.41,2.19,0.00,19:05:47.576
1.03,3.51,2.19,0.00,19:05:47.676
0.94,3.61,2.19,0.00,19:05:47.776
0.86,3.71,2.19,0.00,19:05:47.876
0.96,3.81,2.19,0.00,19:05:47.976
1.00,3.91,2.19,0.00,19:05:48.076
0.87,4.01,2.19,0.00,19:05:48.176
0.96,4.11,2.19,0.00,19:05:48.276
0.91,4.21,2.19,0.00,19:05:48.376
0.98,4.31,2.19,0.00,19:05:48.476
0.95,4.41,2.19,0.00,19:05:48.576
0.98,4.51,2.19,0.00,19:05:48.676
0.97,4.61,2.19,0.00,19:05:48.776
0.88,4.71,2.19,0.00,19:05:48.876
0.86,4.81,2.19,0.00,19:05:48.976
0.99,4.91,2.19,0.00,19:05:49.076
0.89,5.01,2.19,0.00,19:05:49.176
0.98,5.11,2.19,0.00,19:05:49.276
0.93,5.21,2.19,0.00,19:05:49.376
0.99,5.31,2.19,0.00,19:05:49.476
0.86,5.41,2.19,0.00,19:05:49.576
0.94,5.51,2.19,0.00,19:05:49.676
0.86,5.61,2.19,0.00,19:05:49.776
0.91,5.71,2.19,0.00,19:05:49.876
0.89,5.81,2.19,0.00,19:05:49.976
0.97,5.91,2.19,0.00,19:05:50.077
0.99,6.01,2.19,0.00,19:05:50.176
0.93,6.11,2.19,0.00,19:05:50.276
0.98,6.21,2.19,0.00,19:05:50.376
0.92,6.31,2.19,0.00,19:05:50.476
1.01,6.41,2.19,0.00,19:05:50.576
0.89,6.51,2.19,0.00,19:05:50.676
0.94,6.61,2.19,0.00,19:05:50.776
0.86,6.71,2.19,0.00,19:05:50.876
0.95,6.81,2.19,0.00,19:05:50.976
0.92,6.91,2.19,0.00,19:05:51.076
1.01,7.01,2.19,0.00,19:05:51.176
0.94,7.11,2.19,0.00,19:05:51.276
0.97,7.21,2.19,0.00,19:05:51.376
0.90,7.31,2.19,0.00,19:05:51.476
0.98,7.41,2.19,0.00,19:05:51.576
0.97,7.51,2.19,0.00,19:05:51.676
0.91,7.61,2.19,0.00,19:05:51.776
0.96,7.71,2.19,0.00,19:05:51.876
0.90,7.81,2.19,0.00,19:05:51.976
0.91,7.91,2.19,0.00,19:05:52.076
0.95,8.01,2.19,0.00,19:05:52.176
1.01,8.11,2.19,0.00,19:05:52.276
0.87,8.21,2.19,0.00,19:05:52.376
0.93,8.31,2.19,0.00,19:05:52.476
0.86,8.41,2.19,0.00,19:05:52.576
0.96,8.51,2.19,0.00,19:05:52.676
0.86,8.61,2.19,0.00,19:05:52.776
1.03,8.71,2.19,0.00,19:05:52.876
0.92,8.81,2.19,0.00,19:05:52.976
0.95,8.91,2.19,0.00,19:05:53.076
0.95,9.01,2.19,0.00,19:05:53.177
0.88,9.11,2.19,0.00,19:05:53.276
0.99,9.21,2.19,0.00,19:05:53.377
0.94,9.31,2.19,0.00,19:05:53.477
1.01,9.41,2.19,0.00,19:05:53.576
0.94,9.51,2.19,0.00,19:05:53.676
1.00,9.61,2.19,0.00,19:05:53.776
0.87,9.71,2.19,0.00,19:05:53.876
0.99,9.81,2.19,0.00,19:05:53.976
0.92,9.91,2.19,0.00,19:05:54.076
0.94,10.01,2.19,0.00,19:05:54.177
0.92,10.11,2.19,0.00,19:05:54.276
0.96,10.21,2.19,0.00,19:05:54.376
0.94,10.31,2.19,0.00,19:05:54.476
0.86,10.41,2.19,0.00,19:05:54.577
0.99,10.51,2.19,0.00,19:05:54.676
0.91,10.61,2.19,0.00,19:05:54.776
0.94,10.71,2.19,0.00,19:05:54.876
0.86,10.81,2.19,0.00,19:05:54.976
0.94,10.92,2.19,0.00,19:05:55.076
0.89,11.01,2.19,0.00,19:05:55.176
0.99,11.11,2.19,0.00,19:05:55.276
0.99,11.22,2.19,0.00,19:05:55.376
0.94,11.32,2.19,0.00,19:05:55.476
1.01,11.42,2.19,0.00,19:05:55.576
0.87,11.52,2.19,0.00,19:05:55.676
0.91,11.62,2.19,0.00,19:05:55.776
0.96,11.72,2.19,0.00,19:05:55.877
0.93,11.82,2.19,0.00,19:05:55.977
0.99,11.92,2.19,0.00,19:05:56.077
0.96,12.02,2.19,0.00,19:05:56.176
0.96,12.12,2.19,0.00,19:05:56.276
0.92,12.22,2.19,0.00,19:05:56.376
0.99,12.32,2.19,0.00,19:05:56.476
0.94,12.42,2.19,0.00,19:05:56.576
0.96,12.52,2.19,0.00,19:05:56.676
0.95,12.62,2.19,0.00,19:05:56.776
0.99,12.72,2.19,0.00,19:05:56.876
0.94,12.82,2.19,0.00,19:05:56.976
1.03,12.92,2.19,0.00,19:05:57.077
0.94,13.02,2.19,0.00,19:05:57.176
0.96,13.12,2.19,0.00,19:05:57.276
0.87,13.22,2.19,0.00,19:05:57.376
0.91,13.32,2.19,0.00,19:05:57.476
0.85,13.42,2.19,0.00,19:05:57.576
0.91,13.52,2.19,0.00,19:05:57.677
0.91,13.62,2.19,0.00,19:05:57.776
0.99,13.72,2.19,0.00,19:05:57.876
0.91,13.82,2.19,0.00,19:05:57.976
0.93,13.92,2.19,0.00,19:05:58.076
0.91,14.02,2.19,0.00,19:05:58.176
0.96,14.12,2.19,0.00,19:05:58.276
0.91,14.22,2.19,0.00,19:05:58.376
0.95,14.32,2.19,0.00,19:05:58.476
0.87,14.42,2.19,0.00,19:05:58.576
0.98,14.52,2.19,0.00,19:05:58.676
0.93,14.62,2.19,0.00,19:05:58.776
0.99,14.72,2.19,0.00,19:05:58.876
0.90,14.82,2.19,0.00,19:05:58.976
0.98,14.92,2.19,0.00,19:05:59.076
0.91,15.02,2.19,0.00,19:05:59.176
0.98,15.12,2.19,0.00,19:05:59.276
0.88,15.22,2.19,0.00,19:05:59.377
0.96,15.32,2.19,0.00,19:05:59.476
0.91,15.42,2.19,0.00,19:05:59.577
0.98,15.52,2.19,0.00,19:05:59.677
0.91,15.62,2.19,0.00,19:05:59.776
0.98,15.72,2.19,0.00,19:05:59.876
0.94,15.82,2.19,0.00,19:05:59.976
0.98,15.92,2.19,0.00,19:06:00.076
0.91,16.02,2.19,0.00,19:06:00.176
1.01,16.12,2.19,0.00,19:06:00.276
0.93,16.22,2.19,0.00,19:06:00.376
0.99,16.32,2.19,0.00,19:06:00.476
0.92,16.42,2.19,0.00,19:06:00.576
0.96,16.52,2.19,0.00,19:06:00.676
0.96,16.62,2.19,0.00,19:06:00.777
0.96,16.72,2.19,0.00,19:06:00.876
0.91,16.82,2.19,0.00,19:06:00.976
1.00,16.92,2.19,0.00,19:06:01.076
0.96,17.02,2.19,0.00,19:06:01.176
0.96,17.12,2.19,0.00,19:06:01.276
0.93,17.22,2.19,0.00,19:06:01.376
0.94,17.32,2.19,0.00,19:06:01.476
0.94,17.42,2.19,0.00,19:06:01.576
0.85,17.52,2.19,0.00,19:06:01.676
