Pressure 1 (kg/cm2),Time 1 (sec),Pressure 2 (kg/cm2),Time 2 (sec),Time_Stamp
3.64,0.30,2.19,0.00,18:46:44.058
3.96,0.40,2.19,0.00,18:46:44.158
4.07,0.50,2.19,0.00,18:46:44.258
3.98,0.60,2.19,0.00,18:46:44.359
4.02,0.70,2.19,0.00,18:46:44.458
3.97,0.80,2.19,0.00,18:46:44.558
3.95,0.90,2.19,0.00,18:46:44.658
3.95,1.00,2.19,0.00,18:46:44.758
3.95,1.10,2.19,0.00,18:46:44.858
3.93,1.20,2.19,0.00,18:46:44.958
3.94,1.30,2.19,0.00,18:46:45.058
3.90,1.40,2.19,0.00,18:46:45.159
3.82,1.50,2.19,0.00,18:46:45.258
3.87,1.60,2.19,0.00,18:46:45.358
3.83,1.70,2.19,0.00,18:46:45.458
3.85,1.80,2.19,0.00,18:46:45.559
3.81,1.90,2.19,0.00,18:46:45.658
3.87,2.00,2.19,0.00,18:46:45.758
3.79,2.10,2.19,0.00,18:46:45.858
3.86,2.20,2.19,0.00,18:46:45.958
3.87,2.30,2.19,0.00,18:46:46.058
3.80,2.40,2.19,0.00,18:46:46.158
3.86,2.50,2.19,0.00,18:46:46.258
3.85,2.60,2.19,0.00,18:46:46.358
3.77,2.70,2.19,0.00,18:46:46.458
3.88,2.80,2.19,0.00,18:46:46.559
3.91,2.90,2.19,0.00,18:46:46.659
3.87,3.00,2.19,0.00,18:46:46.758
3.77,3.10,2.19,0.00,18:46:46.858
3.86,3.20,2.19,0.00,18:46:46.958
3.80,3.30,2.19,0.00,18:46:47.058
3.85,3.40,2.19,0.00,18:46:47.158
3.82,3.50,2.19,0.00,18:46:47.258
3.89,3.60,2.19,0.00,18:46:47.358
3.92,3.70,2.19,0.00,18:46:47.458
3.79,3.80,2.19,0.00,18:46:47.558
3.87,3.90,2.19,0.00,18:46:47.659
3.83,4.00,2.19,0.00,18:46:47.758
3.89,4.10,2.19,0.00,18:46:47.859
3.92,4.20,2.19,0.00,18:46:47.958
3.81,4.30,2.19,0.00,18:46:48.058
3.78,4.41,2.19,0.00,18:46:48.158
3.87,4.51,2.19,0.00,18:46:48.258
3.77,4.61,2.19,0.00,18:46:48.358
3.89,4.71,2.19,0.00,18:46:48.458
3.90,4.81,2.19,0.00,18:46:48.558
3.80,4.91,2.19,0.00,18:46:48.658
3.88,5.01,2.19,0.00,18:46:48.758
3.79,5.11,2.19,0.00,18:46:48.858
3.80,5.21,2.19,0.00,18:46:48.958
3.87,5.31,2.19,0.00,18:46:49.058
3.83,5.41,2.19,0.00,18:46:49.158
3.83,5.51,2.19,0.00,18:46:49.258
3.80,5.61,2.19,0.00,18:46:49.358
3.92,5.71,2.19,0.00,18:46:49.459
3.81,5.81,2.19,0.00,18:46:49.559
3.92,5.91,2.19,0.00,18:46:49.658
3.81,6.01,2.19,0.00,18:46:49.758
3.87,6.11,2.19,0.00,18:46:49.859
3.80,6.21,2.19,0.00,18:46:49.958
3.92,6.31,2.19,0.00,18:46:50.059
3.83,6.41,2.19,0.00,18:46:50.158
3.92,6.51,2.19,0.00,18:46:50.258
3.88,6.61,2.19,0.00,18:46:50.358
3.87,6.71,2.19,0.00,18:46:50.458
3.86,6.81,2.19,0.00,18:46:50.559
3.86,6.91,2.19,0.00,18:46:50.658
3.79,7.01,2.19,0.00,18:46:50.758
3.85,7.11,2.19,0.00,18:46:50.858
3.82,7.21,2.19,0.00,18:46:50.958
3.80,7.31,2.19,0.00,18:46:51.058
3.78,7.41,2.19,0.00,18:46:51.158
3.87,7.51,2.19,0.00,18:46:51.259
3.86,7.61,2.19,0.00,18:46:51.359
3.94,7.71,2.19,0.00,18:46:51.459
3.87,7.81,2.19,0.00,18:46:51.558
3.80,7.91,2.19,0.00,18:46:51.658
3.88,8.01,2.19,0.00,18:46:51.758
3.82,8.11,2.19,0.00,18:46:51.858
3.97,8.21,2.19,0.00,18:46:51.958
3.80,8.31,2.19,0.00,18:46:52.058
3.90,8.41,2.19,0.00,18:46:52.158
3.81,8.51,2.19,0.00,18:46:52.258
3.80,8.61,2.19,0.00,18:46:52.358
3.88,8.71,2.19,0.00,18:46:52.458
3.78,8.81,2.19,0.00,18:46:52.558
3.93,8.91,2.19,0.00,18:46:52.658
3.88,9.01,2.19,0.00,18:46:52.759
3.85,9.11,2.19,0.00,18:46:52.858
3.93,9.21,2.19,0.00,18:46:52.958
3.80,9.31,2.19,0.00,18:46:53.059
3.82,9.41,2.19,0.00,18:46:53.158
3.87,9.51,2.19,0.00,18:46:53.258
3.84,9.62,2.19,0.00,18:46:53.358
3.92,9.72,2.19,0.00,18:46:53.458
3.90,9.82,2.19,0.00,18:46:53.558
3.95,9.92,2.19,0.00,18:46:53.659
3.89,10.02,2.19,0.00,18:46:53.758
3.88,10.12,2.19,0.00,18:46:53.859
3.87,10.22,2.19,0.00,18:46:53.958
3.77,10.32,2.19,0.00,18:46:54.058
3.88,10.42,2.19,0.00,18:46:54.158
3.80,10.52,2.19,0.00,18:46:54.258
3.90,10.62,2.19,0.00,18:46:54.358
3.78,10.72,2.19,0.00,18:46:54.459
3.88,10.82,2.19,0.00,18:46:54.558
3.85,10.92,2.19,0.00,18:46:54.659
3.82,11.02,2.19,0.00,18:46:54.758
3.87,11.12,2.19,0.00,18:46:54.858
3.85,11.22,2.19,0.00,18:46:54.958
3.78,11.32,2.19,0.00,18:46:55.058
3.80,11.42,2.19,0.00,18:46:55.158
3.93,11.52,2.19,0.00,18:46:55.258
3.90,11.62,2.19,0.00,18:46:55.358
3.82,11.72,2.19,0.00,18:46:55.458
3.87,11.82,2.19,0.00,18:46:55.559
3.77,11.92,2.19,0.00,18:46:55.658
3.83,12.02,2.19,0.00,18:46:55.758
3.74,12.12,2.19,0.00,18:46:55.858
3.85,12.22,2.19,0.00,18:46:55.958
3.82,12.32,2.19,0.00,18:46:56.059
3.86,12.42,2.19,0.00,18:46:56.158
3.78,12.52,2.19,0.00,18:46:56.259
3.85,12.62,2.19,0.00,18:46:56.358
3.78,12.72,2.19,0.00,18:46:56.458
3.90,12.82,2.19,0.00,18:46:56.558
3.88,12.92,2.19,0.00,18:46:56.659
3.82,13.02,2.19,0.00,18:46:56.758
3.87,13.12,2.19,0.00,18:46:56.858
3.78,13.22,2.19,0.00,18:46:56.958
3.80,13.32,2.19,0.00,18:46:57.058
3.87,13.42,2.19,0.00,18:46:57.158
3.86,13.52,2.19,0.00,18:46:57.258
3.89,13.62,2.19,0.00,18:46:57.358
3.89,13.72,2.19,0.00,18:46:57.458
3.80,13.82,2.19,0.00,18:46:57.559
3.90,13.92,2.19,0.00,18:46:57.658
3.90,14.03,2.19,0.00,18:46:57.758
3.83,14.13,2.19,0.00,18:46:57.858
3.93,14.23,2.19,0.00,18:46:57.958
3.82,14.33,2.19,0.00,18:46:58.058
3.88,14.43,2.19,0.00,18:46:58.158
3.82,14.53,2.19,0.00,18:46:58.260
3.87,14.63,2.19,0.00,18:46:58.358
3.83,14.73,2.19,0.00,18:46:58.459
3.92,14.83,2.19,0.00,18:46:58.558
3.87,14.93,2.19,0.00,18:46:58.658
3.90,15.03,2.19,0.00,18:46:58.758
3.91,15.13,2.19,0.00,18:46:58.859
3.83,15.23,2.19,0.00,18:46:58.958
3.95,15.33,2.19,0.00,18:46:59.059
